Campaign,Ad group,Match type,Keyword,Final URL,Note
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_AirconCleaning,phrase,冷氣清洗,https://leakdoctor.tw/aircon.html,核心
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_AirconCleaning,phrase,洗冷氣,https://leakdoctor.tw/aircon.html,口語
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_AirconCleaning,phrase,冷氣清潔,https://leakdoctor.tw/aircon.html,核心
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_AirconCleaning,exact,分離式冷氣清洗,https://leakdoctor.tw/aircon.html,機型
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_AirconCleaning,exact,吊隱式冷氣清洗,https://leakdoctor.tw/aircon.html,高單價
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_AirconCleaning,exact,窗型冷氣清洗,https://leakdoctor.tw/aircon.html,機型
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_AirconCleaning,phrase,冷氣清洗 價格,https://leakdoctor.tw/aircon.html,價格意圖
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_AirconCleaning,phrase,冷氣清洗 到府,https://leakdoctor.tw/aircon.html,到府意圖
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_WasherCleaning,phrase,洗衣機清洗,https://leakdoctor.tw/washer.html,核心
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_WasherCleaning,phrase,洗衣機清潔,https://leakdoctor.tw/washer.html,核心
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_WasherCleaning,exact,直立式洗衣機清洗,https://leakdoctor.tw/washer.html,機型
GOOG_Search_HighIntent_Cleaning_NorthWest_2026Q3,AG_WasherCleaning,exact,滾筒洗衣機清洗,https://leakdoctor.tw/washer.html,機型
